class,age,sex,survived
First,adult,male,yes
Third,adult,male,no
First,adult,male,no
First,adult,male,no
Third,adult,male,no
Second,adult,male,no
First,adult,male,no
Second,adult,male,no
First,adult,male,no
Third,adult,male,no
First,adult,male,no
First,adult,male,no
First,adult,male,no
First,adult,female,yes
Third,adult,female,yes
First,adult,male,no
First,adult,male,no
Second,adult,male,yes
First,adult,female,yes
First,adult,male,no
Third,adult,male,no
First,adult,male,no
First,adult,female,yes
First,adult,male,yes
Second,adult,male,no
First,adult,male,no
Third,adult,male,no
Second,adult,male,no
First,adult,female,yes
First,adult,female,yes
First,adult,female,yes
First,adult,male,no
First,adult,male,no
Second,adult,male,no
Second,adult,female,no
First,adult,male,no
First,adult,male,no
First,adult,male,yes
First,adult,female,yes
Third,adult,male,no
Second,adult,female,yes
First,adult,male,no
First,adult,male,no
First,adult,male,no
Second,adult,male,no
Second,adult,male,no
First,adult,female,yes
First,adult,female,yes
Second,adult,male,no
Second,adult,female,yes
First,adult,female,yes
First,adult,male,no
First,adult,male,yes
First,adult,female,yes
Second,adult,male,no
Second,adult,male,no
First,adult,female,yes
Second,adult,male,no
First,adult,male,no
Third,adult,male,no
Third,adult,male,no
Third,adult,male,no
First,adult,female,yes
First,adult,male,yes
First,adult,female,no
Second,adult,female,yes
First,adult,female,yes
First,adult,male,no
Second,adult,female,yes
Third,adult,male,no
Second,adult,female,yes
First,adult,male,no
First,adult,male,yes
Second,adult,male,no
First,adult,female,yes
First,adult,male,yes
Third,adult,male,no
First,adult,male,yes
First,adult,male,no
First,adult,female,yes
First,adult,male,yes
Second,adult,male,no
First,adult,female,yes
First,adult,male,yes
First,adult,male,yes
Third,adult,female,no
Second,adult,female,yes
Third,adult,male,no
First,adult,female,yes
First,adult,male,no
Third,adult,female,no
First,adult,male,no
First,adult,male,no
Second,adult,male,no
Third,adult,male,no
First,adult,male,no
First,adult,female,yes
Third,adult,male,no
First,adult,male,no
Second,adult,male,no
First,adult,male,no
Third,adult,male,no
First,adult,male,no
First,adult,male,no
Third,adult,male,no
Third,adult,female,no
First,adult,male,yes
Third,adult,female,no
Third,adult,male,yes
First,adult,male,no
Third,adult,female,no
Second,adult,female,yes
First,adult,male,no
Second,adult,female,yes
First,adult,female,yes
Third,adult,male,no
First,adult,female,yes
Second,adult,male,no
First,adult,male,no
Third,adult,male,yes
First,adult,female,yes
Third,adult,male,no
Third,adult,male,no
Second,adult,female,no
Second,adult,male,no
Third,adult,male,no
Third,adult,female,no
First,adult,female,yes
Third,adult,male,no
First,adult,male,no
Second,adult,male,no
Third,adult,male,no
Second,adult,male,no
Second,adult,male,yes
Third,adult,male,no
First,adult,female,yes
Second,adult,female,yes
First,adult,male,yes
Third,adult,male,no
First,adult,male,yes
Third,adult,male,no
Second,adult,female,yes
Third,adult,female,no
Second,adult,female,yes
First,adult,female,yes
Third,adult,female,no
Third,adult,male,no
Third,adult,male,no
Third,adult,male,no
Third,adult,male,no
First,adult,male,no
Third,adult,female,no
Second,adult,female,yes
Third,adult,male,no
First,adult,male,yes
First,adult,male,no
First,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Third,adult,male,no
First,adult,female,yes
Third,adult,male,no
Second,adult,female,yes
Third,adult,male,no
Third,adult,male,yes
Third,adult,male,no
First,adult,female,yes
First,adult,female,yes
First,adult,female,yes
Third,adult,female,no
Second,adult,male,no
Second,adult,male,no
First,adult,male,no
Second,adult,male,no
Third,adult,male,no
First,adult,female,yes
Third,adult,female,no
First,adult,female,yes
Third,adult,female,yes
First,adult,female,yes
Third,adult,male,no
First,adult,male,yes
First,adult,male,no
Second,adult,female,no
Third,adult,male,no
Third,adult,male,no
First,adult,female,yes
First,adult,male,no
Third,adult,male,no
First,adult,male,no
First,adult,male,yes
First,adult,male,no
Third,adult,female,no
Second,adult,male,no
Second,adult,male,no
Third,adult,male,no
Third,adult,male,no
Second,adult,male,no
Second,adult,male,no
First,adult,female,yes
Second,adult,female,yes
Second,adult,male,no
Second,adult,female,yes
First,adult,male,yes
Second,adult,male,no
First,adult,male,yes
Second,adult,female,yes
First,adult,female,yes
Third,adult,female,yes
First,adult,male,yes
First,adult,male,no
Third,adult,male,no
Third,adult,male,no
Third,adult,male,no
First,adult,male,yes
First,adult,male,no
First,adult,female,yes
First,adult,female,yes
Third,adult,male,no
Second,adult,male,no
Second,adult,female,yes
First,adult,female,yes
First,adult,female,yes
First,adult,female,yes
Third,adult,female,yes
Third,adult,male,no
First,adult,female,yes
First,adult,female,yes
Third,adult,male,no
First,adult,male,yes
Third,adult,male,no
First,adult,male,yes
First,adult,male,yes
Second,adult,male,no
Third,adult,male,no
Third,adult,male,no
Second,adult,male,yes
Second,adult,female,yes
Second,adult,male,no
Third,adult,male,no
Second,adult,male,no
Second,adult,female,yes
First,adult,male,yes
Third,adult,male,no
Second,adult,male,no
Second,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Second,adult,male,no
Third,adult,male,no
Second,adult,male,no
Third,adult,female,yes
Third,adult,male,no
Third,adult,male,no
Second,adult,male,no
Third,adult,male,no
First,adult,female,yes
Second,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Third,adult,male,no
Third,adult,male,no
First,adult,female,yes
First,adult,female,yes
First,adult,male,no
Third,adult,male,no
Second,adult,male,no
Second,adult,female,yes
Second,adult,male,no
Third,adult,male,yes
Second,adult,female,yes
Third,adult,male,no
First,adult,female,yes
Third,adult,male,no
Third,adult,male,yes
Third,adult,male,no
Second,adult,male,yes
Third,adult,male,yes
Third,adult,male,yes
First,adult,male,yes
Third,adult,male,no
Third,adult,female,no
Second,adult,male,no
Third,adult,male,no
Third,adult,male,yes
Third,adult,male,no
Third,adult,female,no
First,adult,female,yes
First,adult,female,yes
Third,adult,female,yes
Third,adult,female,no
Second,adult,male,no
Second,adult,male,no
First,adult,male,no
Second,adult,male,yes
First,adult,male,yes
Third,adult,male,yes
Third,adult,male,no
Third,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Second,adult,male,no
First,adult,male,no
Third,adult,female,no
Third,adult,male,no
Third,adult,female,yes
Third,adult,male,no
Second,adult,male,no
Second,adult,male,no
Second,adult,male,no
Third,adult,male,no
Third,adult,male,no
First,adult,female,yes
Third,adult,male,yes
Second,adult,male,no
First,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Second,adult,male,no
First,adult,male,no
Third,adult,male,no
First,adult,female,yes
Third,adult,female,no
First,adult,female,yes
Third,adult,male,no
Second,adult,female,yes
Second,adult,female,yes
Third,adult,male,no
Third,adult,female,no
First,adult,female,yes
Second,adult,female,yes
Second,adult,female,yes
Third,adult,male,yes
Third,adult,male,no
Second,adult,male,no
Second,adult,female,yes
Third,adult,male,no
Second,adult,male,no
Third,adult,female,no
Third,adult,female,yes
First,adult,male,no
Second,adult,male,no
Third,adult,male,no
Third,adult,male,yes
Third,adult,male,no
Third,adult,male,yes
Third,adult,female,no
Third,adult,male,no
First,adult,female,yes
First,adult,male,no
Third,child,male,no
Third,child,male,no
First,child,male,yes
First,child,male,no
First,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Third,child,male,no
Third,child,female,no
Second,child,female,yes
First,child,male,yes
Second,child,female,yes
Third,child,male,no
Second,child,male,no
Second,child,female,yes
Third,child,male,no
Second,child,male,no
Second,child,female,yes
Second,child,male,no
Third,child,female,yes
Second,child,female,no
Third,child,male,yes
Third,child,female,yes
Second,child,male,no
Third,child,male,no
First,child,male,no
Second,child,male,no
First,child,male,yes
Third,child,male,no
First,child,male,yes
Second,child,female,yes
First,child,male,yes
Third,child,male,yes
Third,child,male,yes
Third,child,female,yes
Second,child,female,yes
Second,child,male,no
Third,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,yes
First,child,female,yes
Second,child,female,no
Third,child,female,yes
Third,child,male,no
Third,child,male,yes
Third,child,female,no
Second,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
First,child,male,yes
Third,child,male,no
Second,child,male,no
Third,child,female,no
Third,child,male,yes
Third,child,male,yes
Second,child,male,no
Third,child,male,no
First,child,male,yes
Third,child,male,no
First,child,male,yes
First,child,female,no
Second,child,female,yes
Second,child,male,no
Second,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
First,child,male,no
Third,child,male,yes
First,child,male,no
Third,child,female,yes
Second,child,female,no
Third,child,male,no
Second,child,male,no
Second,child,female,yes
Third,child,female,no
Third,child,male,no
First,child,female,yes
Second,child,female,yes
First,child,female,yes
Second,child,female,yes
First,child,female,yes
Third,child,female,yes
Second,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Second,child,female,yes
First,child,female,yes
Second,child,male,no
First,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,female,yes
Second,child,male,no
Third,child,male,no
First,child,female,yes
First,child,male,yes
Second,child,male,no
Third,child,male,no
First,child,female,yes
Second,child,male,no
Second,child,female,yes
Second,child,male,no
Third,child,female,yes
Second,child,male,no
Second,child,male,no
Second,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,female,yes
First,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,female,yes
Third,child,male,no
Second,child,female,yes
First,child,female,yes
First,child,male,no
Third,child,female,yes
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
First,child,female,yes
Third,child,male,yes
Third,child,female,yes
Third,child,male,no
Second,child,female,yes
First,child,female,yes
Third,child,female,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Second,child,male,no
First,child,male,no
Third,child,female,yes
Third,child,male,no
Second,child,male,no
Third,child,male,no
Third,child,male,yes
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
First,child,female,yes
Third,child,male,no
First,child,female,yes
Third,child,male,no
Second,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,yes
Third,child,male,no
Third,child,male,yes
Third,child,male,no
Third,child,male,no
Third,child,male,yes
Third,child,male,no
Third,child,male,no
First,child,male,no
Third,child,female,yes
Third,child,male,no
First,child,female,yes
Third,child,male,no
Second,child,male,no
Second,child,male,no
Third,child,female,yes
Second,child,male,yes
Second,child,male,no
Third,child,male,yes
First,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Second,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
Third,child,male,no
First,child,male,no
Third,child,male,no
First,child,female,yes
Third,child,female,no
Third,child,female,no
Second,child,male,no
Third,child,male,no
Third,child,male,yes
Second,child,male,no
First,child,female,yes
Third,child,male,no
Second,child,male,no
Second,child,female,yes
Third,child,male,no
First,child,male,no
First,child,female,yes
Second,child,female,yes
Third,child,female,no
Third,child,male,no
Third,child,female,yes
Third,child,male,no
First,child,female,yes
Third,child,female,no
Second,child,male,no
Third,child,male,no
Third,child,female,yes
Third,child,female,no
Third,child,male,no
Third,child,female,yes
Third,child,female,yes
Second,child,female,yes
Third,child,female,no
Third,child,male,no
First,child,female,yes
Second,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
First,child,male,yes
Third,child,male,no
First,child,female,yes
Third,child,male,no
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,female,yes
Third,child,female,yes
Third,child,male,yes
Third,child,male,no
Third,child,male,no
First,child,female,yes
Third,child,male,no
First,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,male,no
Second,child,male,no
First,child,female,yes
Third,child,female,yes
Third,child,male,no
First,child,female,yes
Third,child,female,yes
Third,child,female,yes
Third,child,female,no
Second,child,female,yes
Third,child,female,no
Third,child,female,yes
First,child,female,yes
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Third,child,female,yes
Third,child,male,yes
Third,child,male,no
Third,child,female,no
Third,child,male,no
First,child,male,yes
Third,child,female,no
Third,child,male,no
Third,child,female,no
Third,child,male,yes
Third,child,male,no
Third,child,male,no
Third,child,male,yes
Third,child,female,no
Third,child,female,no
Third,child,female,no
Third,child,female,no
Second,child,female,yes
Second,child,male,yes
Third,child,male,no
Third,child,male,no
Third,child,male,no
Second,child,female,yes
Second,child,female,yes
Third,child,male,yes
Third,child,female,no
Second,child,female,yes
Third,child,female,yes
Third,child,female,yes
Third,child,female,yes
Third,child,female,yes
Third,child,male,no
Third,child,male,no
Third,child,female,yes
First,child,male,yes
Second,child,female,yes
Third,child,female,yes
Second,child,female,yes
Third,child,male,no
Third,child,male,yes
Second,child,female,yes
Second,child,male,yes
Third,child,male,yes
Third,child,male,yes
Third,child,female,no
Second,child,male,yes
Third,child,male,no
Third,child,male,no
Third,child,female,no
Third,child,female,no
First,child,female,no
Second,child,male,yes
Third,child,female,yes
Second,child,female,yes
Third,child,female,no
Third,child,male,no
Third,child,male,no
Third,child,female,yes
Second,child,male,yes
Third,child,female,yes
Third,child,male,no
Third,child,male,yes
Second,child,male,yes
First,adult,male,yes
Second,adult,male,yes
Second,adult,male,yes
Third,adult,female,yes
Third,adult,female,yes
Second,adult,male,yes
Third,adult,male,yes
